County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CancerType
Coffee,13069,69.6,59.2,81.5,33.00,stable,-1.6,-3.6,0.5,Lung & Bronchus
Putnam,13237,69.2,57.1,83.6,24.00,*,*,*,*,Lung & Bronchus
Quitman,13239,69.2,40.6,121.5,4.00,*,*,*,*,Lung & Bronchus
Montgomery,13209,69.1,49.5,94.9,8.00,stable,-1.3,-4.4,1.8,Lung & Bronchus
Bulloch,13031,68.9,59.9,78.8,44.00,stable,0.2,-1.6,2,Lung & Bronchus
Peach,13225,68.7,56.3,83.2,22.00,stable,-1.1,-3.4,1.3,Lung & Bronchus
Walton,13297,68.4,61.4,76,72.00,stable,-0.9,-2.2,0.4,Lung & Bronchus
Sumter,13261,68.3,56.6,81.8,25.00,stable,-0.4,-2.7,2,Lung & Bronchus
Crisp,13081,68.3,55.5,83.3,21.00,stable,-1.6,-3.6,0.5,Lung & Bronchus
Elbert,13105,68.2,55.3,83.7,20.00,stable,-0.4,-2.6,1.9,Lung & Bronchus
Habersham,13137,67.9,58.7,78.3,40.00,stable,0.6,-1.2,2.5,Lung & Bronchus
Clay,13061,67.9,37.3,117.5,3.00,stable,0.9,-3.6,5.7,Lung & Bronchus
Whitfield,13313,67.7,61,75.1,75.00,falling,-3,-4.3,-1.8,Lung & Bronchus
Charlton,13049,67.5,50.2,89.1,10.00,stable,-0.4,-3.6,2.8,Lung & Bronchus
Washington,13303,67.4,53.9,83.5,18.00,*,*,*,*,Lung & Bronchus
Gilmer,13123,66.7,56.5,78.6,33.00,stable,-0.2,-2.5,2.2,Lung & Bronchus
Jefferson,13163,66.6,51.7,84.9,14.00,*,*,*,*,Lung & Bronchus
Jenkins,13165,66.4,46.9,91.9,8.00,stable,-2.4,-5.5,0.7,Lung & Bronchus
McDuffie,13189,66.4,53.4,81.8,19.00,falling,-2.2,-3.9,-0.5,Lung & Bronchus
Glynn,13127,65.7,59.1,72.9,76.00,falling,-1.2,-2.1,-0.3,Lung & Bronchus
Rabun,13241,65.6,52.9,81.2,20.00,stable,-1,-3.4,1.4,Lung & Bronchus
Butts,13035,65.4,52.9,80.3,20.00,stable,-2.5,-5.1,0.1,Lung & Bronchus
Muscogee,13215,65.2,60.2,70.5,130.00,falling,-1.4,-2.1,-0.7,Lung & Bronchus
Fannin,13111,65.1,54.9,77.1,32.00,stable,-1.7,-3.6,0.2,Lung & Bronchus
Jeff Davis,13161,64.7,48.2,85.1,11.00,falling,-2.8,-5.1,-0.3,Lung & Bronchus
Catoosa,13047,64.2,56.8,72.4,55.00,falling,-3,-4.7,-1.4,Lung & Bronchus
Wheeler,13309,64,42.4,93.4,6.00,*,*,*,*,Lung & Bronchus
Dougherty,13095,64,57.4,71.3,69.00,falling,-1.5,-2.7,-0.2,Lung & Bronchus
McIntosh,13191,63.9,49.9,81.6,16.00,falling,-3.1,-5,-1.2,Lung & Bronchus
Johnson,13167,63.8,45.5,87.7,8.00,stable,-0.7,-4.5,3.1,Lung & Bronchus
Douglas,13097,63.4,57.1,70.1,83.00,falling,-2.3,-3.6,-1,Lung & Bronchus
Marion,13197,62.9,44.2,87.9,8.00,stable,0.8,-2.6,4.3,Lung & Bronchus
Coweta,13077,62.3,56.5,68.6,90.00,falling,-2,-3.3,-0.7,Lung & Bronchus
Wilkes,13317,61.8,45.3,83.3,10.00,falling,-3.2,-4.9,-1.5,Lung & Bronchus
Hall,13139,61.7,57,66.7,129.00,falling,-1.5,-2.8,-0.1,Lung & Bronchus
Lowndes,13185,60.9,54.4,68,66.00,falling,-3,-4.3,-1.8,Lung & Bronchus
Banks,13011,60.7,47.1,77.2,15.00,stable,-0.8,-3.7,2.2,Lung & Bronchus
Clayton,13063,60.5,55.5,65.8,126.00,falling,-1.4,-1.7,-1,Lung & Bronchus
Tattnall,13267,60.4,48.2,74.8,17.00,stable,-2.9,-5.9,0.1,Lung & Bronchus
Long,13183,59.5,41.2,82.5,8.00,stable,-2.2,-5.9,1.7,Lung & Bronchus
Meriwether,13199,59.4,47.7,73.5,19.00,stable,-1.4,-4.1,1.4,Lung & Bronchus
Chatham,13051,59.1,55.3,63.2,185.00,falling,-2.2,-3,-1.4,Lung & Bronchus
Early,13099,59.1,43,80.1,9.00,stable,-3.2,-6.9,0.6,Lung & Bronchus
Greene,13133,58.7,46.3,74.2,18.00,*,*,*,*,Lung & Bronchus
Union,13291,58.5,49,70.3,29.00,stable,-0.7,-2.6,1.3,Lung & Bronchus
Cherokee,13057,58.1,53.6,62.8,139.00,falling,-2.4,-3.7,-1.2,Lung & Bronchus
Columbia,13073,56.8,51.2,62.8,80.00,falling,-2.5,-3.5,-1.6,Lung & Bronchus
Harris,13145,56.5,46.7,67.9,25.00,stable,-1.4,-3.4,0.7,Lung & Bronchus
Stewart,13259,56.2,34.1,89.1,4.00,stable,-0.7,-5,3.9,Lung & Bronchus
Henry,13151,56.2,51.3,61.3,110.00,falling,-2.7,-3.8,-1.7,Lung & Bronchus
Hart,13147,55.9,45.9,67.8,22.00,stable,-2,-3.9,0,Lung & Bronchus
Evans,13109,55.1,38.9,76.3,8.00,falling,-3.9,-7.2,-0.4,Lung & Bronchus
Morgan,13211,55,42.7,70.2,14.00,*,*,*,*,Lung & Bronchus
Pulaski,13235,54.9,40.3,74,10.00,stable,-1.6,-5.4,2.4,Lung & Bronchus
Rockdale,13247,54.5,47.8,61.8,51.00,falling,-2.8,-4.2,-1.5,Lung & Bronchus
Cobb,13067,54.4,51.8,57.1,360.00,falling,-1.7,-2,-1.3,Lung & Bronchus
Talbot,13263,54.2,36.7,79.9,6.00,stable,-1,-5.8,4.1,Lung & Bronchus
Forsyth,13117,52.9,48.2,57.9,100.00,falling,-2.4,-3.4,-1.3,Lung & Bronchus
Clarke,13059,52.7,46.4,59.7,52.00,stable,-1.1,-2.6,0.4,Lung & Bronchus
Hancock,13141,51.9,36.2,73.6,7.00,*,*,*,*,Lung & Bronchus
Dooly,13093,51.1,37.7,68.3,10.00,stable,-8.7,-18.1,1.8,Lung & Bronchus
Fulton,13121,51,48.9,53.2,466.00,falling,-1.6,-1.9,-1.3,Lung & Bronchus
Telfair,13271,50.5,37.9,66.3,11.00,stable,-1.6,-3.9,0.7,Lung & Bronchus
Oconee,13219,50,40.5,61.2,20.00,stable,-2.2,-5.2,0.9,Lung & Bronchus
Gwinnett,13135,48.2,45.7,50.7,329.00,falling,-1.8,-2.2,-1.5,Lung & Bronchus
Schley,13249,47.9,26.9,80.5,3.00,stable,-3.7,-8.6,1.5,Lung & Bronchus
DeKalb,13089,46.6,44.3,49.1,320.00,falling,-1.8,-2.1,-1.4,Lung & Bronchus
Macon,13193,46.4,33.6,63,9.00,falling,-2.9,-5.2,-0.6,Lung & Bronchus
Fayette,13113,44.1,39.3,49.5,64.00,falling,-2.7,-4.1,-1.3,Lung & Bronchus
Baker,13007,* ,*, *,3 or fewer,*,*,*,*,Lung & Bronchus
Calhoun,13037,* ,*, *,3 or fewer,*,*,*,*,Lung & Bronchus
Echols,13101,* ,*, *,3 or fewer,*,*,*,*,Lung & Bronchus
Taliaferro,13265,* ,*, *,3 or fewer,*,*,*,*,Lung & Bronchus
Webster,13307,* ,*, *,3 or fewer,*,*,*,*,Lung & Bronchus
