County,State,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend
Lake County, Indiana,471.5,2757,falling
Denton County, Texas,408.5,2746,stable
Douglas County, Nebraska,488.2,2687,stable
York County, Pennsylvania,481.6,2663,falling
Denver County, Colorado,412.3,2656,falling
Manatee County, Florida,438.9,2634,stable
Greenville County, South Carolina,465.7,2628,falling
Westmoreland County, Pennsylvania,487.8,2609,stable
Hudson County, New Jersey,403.5,2607,falling
Jefferson Parish, Louisiana,483.9,2584,stable
Arapahoe County, Colorado,399.3,2553,falling
Passaic County, New Jersey,451.6,2510,falling
Waukesha County, Wisconsin,477.6,2499,falling
Berks County, Pennsylvania,486.2,2491,stable
Washington County, Oregon,421.2,2459,falling
Fort Bend County, Texas,372.3,2451,falling
Knox County, Tennessee,466.9,2445,falling
Genesee County, Michigan,477.5 #  ,2440,falling
Hampden County, Massachusetts,428.8,2431,falling
Collier County, Florida,378.3,2427,falling
Dane County, Wisconsin,450.2,2399,falling
Lucas County, Ohio,465.4,2392,falling
Kane County, Illinois,438,2378,falling
Hidalgo County, Texas,331.7,2357,falling
Clackamas County, Oregon,463,2336,stable
Seminole County, Florida,444.7,2315,falling
Spokane County, Washington,399.6,2293,falling
Placer County, California,462.8,2286,falling
Stark County, Ohio,455.5,2285,falling
Hillsborough County, New Hampshire,468.7,2277,falling
Stanislaus County, California,423.3,2273,falling
Lehigh County, Pennsylvania,509.9,2238,stable
Luzerne County, Pennsylvania,508.7,2228,stable
East Baton Rouge Parish, Louisiana,480.4,2224,stable
Washoe County, Nevada,429.9,2220,falling
Virginia Beach City, Virginia,464.2,2200,stable
Polk County, Iowa,461.8,2187,falling
Montgomery County, Texas,394,2178,falling
Mobile County, Alabama,442.5,2164,falling
Pulaski County, Arkansas,487.4,2154,falling
Solano County, California,433.3,2151,falling
Mercer County, New Jersey,503.9,2138,falling
Clark County, Washington,417.8,2136,falling
Santa Barbara County, California,437.1,2102,falling
Ada County, Idaho,456.5,2080,falling
Northampton County, Pennsylvania,523,2073,falling
Horry County, South Carolina,454.8,2068,falling
Williamson County, Texas,426,2052,rising
Charleston County, South Carolina,450.7,2044,falling
Forsyth County, North Carolina,475.5,2041,falling
Hamilton County, Tennessee,459.7,2039,falling
Orange County, New York,497.8,2009,falling
St. Charles County, Missouri,461.2,1989,falling
St. Lucie County, Florida,438.4,1983,stable
Rockingham County, New Hampshire,502.4,1969,falling
Albany County, New York,518.7,1919,stable
Orleans Parish, Louisiana,447.4,1905,falling
Barnstable County, Massachusetts,483,1901,falling
Butler County, Ohio,448.4,1855,stable
Gloucester County, New Jersey,541.6,1853,stable
Lane County, Oregon,389.9,1846,falling
Pinal County, Arizona,355,1845,falling
Escambia County, Florida,492.6,1838,rising
Somerset County, New Jersey,463.3,1827,falling
Lorain County, Ohio,468,1820,falling
Madison County, Alabama,443.6,1800,stable
Rockland County, New York,485.7,1794,falling
Richland County, South Carolina,449.3,1776,falling
Dutchess County, New York,473.6,1773,falling
Adams County, Colorado,406,1736,falling
Allen County, Indiana,433.2,1732,falling
Charlotte County, Florida,462,1730,stable
Cumberland County, Maine,459.1,1720,falling
Monterey County, California,394,1711,falling
Marin County, California,448.9,1704,stable
Atlantic County, New Jersey,495.8,1699,falling
Marion County, Oregon,453.7,1697,falling
Sussex County, Delaware,477.1,1691,falling
Chesterfield County, Virginia,450.8,1688,falling
Spartanburg County, South Carolina,472.8,1675,stable
Winnebago County, Illinois,473.3,1674,stable
Hernando County, Florida,546.2,1667,stable
Yavapai County, Arizona,407.9,1654,falling
Henrico County, Virginia,445.5,1648,falling
Erie County, Pennsylvania,475.3,1643,stable
New London County, Connecticut,474.2,1640,falling
San Luis Obispo County, California,440.1,1622,falling
Kitsap County, Washington,502.7,1615,stable
Madison County, Illinois,482.7,1601,falling
Buncombe County, North Carolina,471.1,1597,stable
St. Louis City, Missouri,473.7,1586,falling
Dauphin County, Pennsylvania,471.8,1585,stable
Niagara County, New York,552.5,1579,stable
Mohave County, Arizona,431.2,1579,falling
Thurston County, Washington,484,1573,falling
Fayette County, Kentucky,486.1,1553,falling
Washtenaw County, Michigan,422.7 #  ,1551,falling
Harford County, Maryland,512.8,1546,stable
McHenry County, Illinois,455.7,1546,falling
Tulare County, California,376.5,1541,falling
Oneida County, New York,503.8,1525,falling
Saratoga County, New York,528.6,1514,stable
Cameron County, Texas,370.9,1511,falling
Citrus County, Florida,521.1,1506,stable
St. Tammany Parish, Louisiana,497.8,1499,falling
Larimer County, Colorado,407.4,1491,stable
Osceola County, Florida,446.1,1489,stable
Lake County, Ohio,474.7,1486,stable
St. Johns County, Florida,487.4,1485,stable
Washington County, Pennsylvania,508.3,1484,stable
Nueces County, Texas,380.5,1471,falling
Lexington County, South Carolina,447.3,1466,falling
Utah County, Utah,384.2,1452,stable
St. Clair County, Illinois,471,1441,falling
Mahoning County, Ohio,434.8,1433,falling
Caddo Parish, Louisiana,476.6,1427,falling
Cumberland County, North Carolina,461.5,1413,stable
Sumter County, Florida,439.5,1413,falling
Cumberland County, Pennsylvania,442.2,1403,falling
Bell County, Texas,486.3,1403,stable
Greene County, Missouri,418.1,1388,falling
Chatham County, Georgia,444.8,1388,stable
Brazoria County, Texas,412.1,1384,falling
Lackawanna County, Pennsylvania,479.3,1381,stable
Galveston County, Texas,389.4,1380,falling
Howard County, Maryland,407.9,1371,falling
Lancaster County, Nebraska,440.3,1369,stable
Durham County, North Carolina,453.1,1356,falling
York County, Maine,480.1,1346,falling
Butte County, California,472.7,1342,falling
Santa Cruz County, California,427.2,1337,falling
Prince William County, Virginia,347.6,1334,stable
St. Joseph County, Indiana,431.8,1333,falling
Trumbull County, Ohio,459,1330,falling
Jackson County, Oregon,430.9,1316,falling
Sangamon County, Illinois,532.5,1315,stable
Brown County, Wisconsin,457.6,1305,falling
Martin County, Florida,456.3,1304,stable
Hamilton County, Indiana,440.2,1304,stable
York County, South Carolina,469.2,1302,falling
Indian River County, Florida,468.6,1297,stable
Litchfield County, Connecticut,481.5,1278,falling
Kanawha County, West Virginia,493.2,1275,stable
Broome County, New York,501.3,1274,stable
Boulder County, Colorado,380.5,1272,falling
Cherokee County, Georgia,508.4,1260,stable
Ingham County, Michigan,437.8 #  ,1259,falling
Baldwin County, Alabama,452.4,1257,stable
Gaston County, North Carolina,487.2,1256,stable
Shasta County, California,505.3,1253,stable
Hinds County, Mississippi,481.9,1241,stable
Frederick County, Maryland,449.1,1239,falling
Jefferson County, Missouri,483.7,1227,stable
Linn County, Iowa,489.2,1226,rising
Alachua County, Florida,464.9,1221,falling
New Hanover County, North Carolina,460.1,1219,stable
Racine County, Wisconsin,509.8,1209,stable
Douglas County, Colorado,393.8,1207,falling
Butler County, Pennsylvania,490.4,1203,falling
Whatcom County, Washington,474.5,1198,stable
Rutherford County, Tennessee,447.2,1194,stable
Loudoun County, Virginia,371.6,1190,falling
Smith County, Texas,453.6,1186,falling
Lubbock County, Texas,417.9,1185,falling
Clay County, Florida,508.7,1182,stable
Beaver County, Pennsylvania,487.3,1181,stable
Clay County, Missouri,463.5,1178,stable
Lafayette Parish, Louisiana,485.9,1171,falling
Ottawa County, Michigan,386.8 #  ,1168,falling
Saginaw County, Michigan,455.4 #  ,1167,stable
Kalamazoo County, Michigan,414.5 #  ,1160,falling
Anderson County, South Carolina,464.9,1152,falling
Anchorage Borough, Alaska,433.1,1152,falling
Beaufort County, South Carolina,407.1,1147,falling
Benton County, Arkansas,440.7,1147,stable
Ulster County, New York,469.1,1147,falling
El Dorado County, California,436.5,1145,falling
Clermont County, Ohio,474.5,1143,falling
Bay County, Florida,505.5,1137,stable
Davis County, Utah,410.1,1136,stable
Jefferson County, Texas,399.1,1134,falling
Montgomery County, Alabama,447.9,1127,stable
Kent County, Rhode Island,506.5,1122,falling
Chesapeake City, Virginia,449.7,1116,stable
Cleveland County, Oklahoma,409.5,1116,falling
Weld County, Colorado,401.2,1113,stable
Warren County, Ohio,448.7,1110,falling
Clayton County, Georgia,483.9,1098,stable
Middlesex County, Connecticut,479.5,1097,falling
Harrison County, Mississippi,494.5,1096,stable
Leon County, Florida,401.6,1094,falling
Peoria County, Illinois,494.8,1094,falling
Sullivan County, Tennessee,477,1087,stable
Calcasieu Parish, Louisiana,486.8,1087,falling
McLennan County, Texas,414.7,1081,falling
Kent County, Delaware,518.3,1067,falling
Medina County, Ohio,482.2,1065,stable
Deschutes County, Oregon,450.8,1064,falling
Okaloosa County, Florida,451.3,1044,falling
Union County, North Carolina,460.8,1042,stable
Norfolk City, Virginia,473.3,1042,stable
Vanderburgh County, Indiana,471.6,1040,stable
Davidson County, North Carolina,490.5,1039,stable
Hall County, Georgia,498.4,1036,stable
Monroe County, Pennsylvania,486.8,1035,stable
Schuylkill County, Pennsylvania,504.7,1030,stable
Henry County, Georgia,485.8,1030,falling
Hawaii County, Hawaii,380.7,1025,falling
Rensselaer County, New York,521.6,1025,falling
Carroll County, Maryland,490.4,1022,stable
Forsyth County, Georgia,501.8,1014,stable
Richmond City, Virginia,444.3,1014,falling
Richmond County, Georgia,469.7,1007,stable
Penobscot County, Maine,508.6,1004,stable
Brunswick County, North Carolina,466.4,1002,rising
Cabarrus County, North Carolina,479.7,998,falling
Licking County, Ohio,478.4,996,stable
Minnehaha County, South Dakota,532.9,985,stable
Muscogee County, Georgia,484.7,984,stable
Yakima County, Washington,387.5,979,falling
Williamson County, Tennessee,435.3,973,falling
Scott County, Iowa,483.9,971,falling
St. Clair County, Michigan,458.9 #  ,969,stable
Livingston County, Michigan,420.6 #  ,969,stable
Shelby County, Alabama,416.1,968,falling
Alamance County, North Carolina,494,962,stable
Yellowstone County, Montana,510,962,rising
Berkeley County, South Carolina,452.7,960,stable
Sumner County, Tennessee,462.6,959,falling
Elkhart County, Indiana,436.6,956,falling
Berrien County, Michigan,453.5 #  ,953,falling
Iredell County, North Carolina,474.5,952,falling
Cambria County, Pennsylvania,475.4,952,falling
Canyon County, Idaho,462.6,952,stable
Merrimack County, New Hampshire,493.4,947,falling
Rock County, Wisconsin,484.3,944,stable
Washington County, Arkansas,459.6,943,rising
Muskegon County, Michigan,444.6 #  ,942,falling
Chautauqua County, New York,529,937,stable
Johnston County, North Carolina,474.2,937,stable
Schenectady County, New York,483.6,936,stable
Sussex County, New Jersey,510.3,932,falling
Kootenai County, Idaho,488.9,930,falling
Outagamie County, Wisconsin,451.1,929,stable
Flagler County, Florida,494.4,929,falling
Merced County, California,390.2,928,falling
Randolph County, North Carolina,513,926,stable
Catawba County, North Carolina,465.1,922,stable
Dona Ana County, New Mexico,400.9,921,rising
Fayette County, Pennsylvania,480.9,919,falling
Santa Rosa County, Florida,466.2,918,stable
Winnebago County, Wisconsin,455.7,915,falling
Porter County, Indiana,460.2,913,falling
Delaware County, Ohio,450.5,911,falling
Tuscaloosa County, Alabama,441.3,905,falling
Kenton County, Kentucky,504,905,stable
Portage County, Ohio,473.7,905,stable
Kenosha County, Wisconsin,489.1,900,stable
Cumberland County, New Jersey,512,895,stable
Weber County, Utah,390.7,893,falling
Aiken County, South Carolina,411.8,891,stable
Washington County, Maryland,479.2,888,stable
Jackson County, Michigan,441.4 #  ,888,stable
Rowan County, North Carolina,501.6,881,falling
Cape May County, New Jersey,564.6,881,stable
Bibb County, Georgia,503.1,880,stable
Rock Island County, Illinois,459.6,875,falling
Franklin County, Pennsylvania,431.1,871,falling
Benton County, Washington,419.5,870,falling
Tazewell County, Illinois,501.3,870,falling
Clark County, Ohio,485.4,868,stable
Yuma County, Arizona,354.3,866,falling
Greene County, Ohio,431.9,865,falling
Champaign County, Illinois,441.8,863,stable
Pueblo County, Colorado,415.2,861,falling
Lebanon County, Pennsylvania,467.3,855,stable
Berkshire County, Massachusetts,438.8,849,stable
Blair County, Pennsylvania,485.6,849,stable
Washington County, Rhode Island,486.7,847,falling
Ouachita Parish, Louisiana,494,842,stable
Maui County, Hawaii,411.3,837,stable
Henderson County, North Carolina,457.3,836,falling
Washington County, Wisconsin,483.6,831,stable
Highlands County, Florida,434.4,831,falling
Blount County, Tennessee,479.8,828,falling
Mercer County, Pennsylvania,500.5,819,stable
Johnson County, Texas,463.3,812,stable
Newport News City, Virginia,444.9,811,falling
Washington County, Utah,401,810,stable
Fairfield County, Ohio,457.1,809,stable
DeSoto County, Mississippi,458.1,807,rising
Yolo County, California,403.6,806,falling
Chittenden County, Vermont,449.7,803,falling
Hunterdon County, New Jersey,475.1,794,stable
Skagit County, Washington,479.1,794,falling
Tolland County, Connecticut,455.6,794,falling
Napa County, California,432.2,794,falling
Mesa County, Colorado,414.5,792,falling
Johnson County, Indiana,478.9,789,stable
Madison County, Indiana,478.5,788,stable
Macon County, Illinois,545.2,786,stable
Florence County, South Carolina,467.5,778,stable
Oswego County, New York,541.3,776,stable
Hendricks County, Indiana,461.8,772,falling
Kennebec County, Maine,462.6,772,falling
Sarpy County, Nebraska,470.3,771,falling
Marathon County, Wisconsin,452.9,770,falling
McLean County, Illinois,451.5,769,falling
Hampshire County, Massachusetts,408.2,767,falling
Richland County, Ohio,466.1,762,stable
Jackson County, Mississippi,459.8,762,stable
Rankin County, Mississippi,452.4,759,falling
Washington County, Tennessee,475.1,759,rising
Cass County, North Dakota,480.7,757,falling
Grayson County, Texas,470.9,754,falling
Lycoming County, Pennsylvania,496.3,754,stable
Monroe County, Michigan,390.7 #  ,752,stable
La Salle County, Illinois,506.6,750,stable
Ontario County, New York,504.4,748,stable
Ellis County, Texas,444.9,743,falling
Black Hawk County, Iowa,488.9,742,falling
Rapides Parish, Louisiana,477.7,742,stable
Dorchester County, South Carolina,458.9,739,falling
Pitt County, North Carolina,430,737,falling
Garland County, Arkansas,495.7,733,stable
Onslow County, North Carolina,530.3,726,stable
Houston County, Georgia,474.5,723,stable
Charles County, Maryland,446.8,714,stable
Douglas County, Oregon,412.5,714,falling
Humboldt County, California,428.2,712,falling
Arlington County, Virginia,351.5,710,falling
Wayne County, North Carolina,487.4,710,stable
Morgan County, Alabama,477.2,708,rising
Saline County, Arkansas,491.9,708,stable
Windham County, Connecticut,494.8,708,stable
Warren County, New Jersey,506.4,706,falling
Santa Fe County, New Mexico,321.9,705,falling
Hampton City, Virginia,454.1,705,stable
Strafford County, New Hampshire,497.6,703,stable
Moore County, North Carolina,479.8,699,stable
Coweta County, Georgia,467.2,690,stable
Calhoun County, Michigan,406.4 #  ,689,falling
Linn County, Oregon,433.7,689,falling
Boone County, Missouri,433.7,688,falling
Sheboygan County, Wisconsin,467.4,687,falling
Centre County, Pennsylvania,421.5,686,falling
Sandoval County, New Mexico,406.2,685,falling
Webb County, Texas,328.7,685,falling
Hays County, Texas,401.3,683,stable
Montgomery County, Tennessee,444.4,682,stable
Pickens County, South Carolina,481.8,681,stable
Imperial County, California,391.5,681,stable
Sebastian County, Arkansas,464.4,680,stable
Wilson County, Tennessee,446.1,680,falling
Parker County, Texas,455.9,679,falling
Tippecanoe County, Indiana,417.8,675,falling
Rockingham County, North Carolina,519.9,674,stable
Gregg County, Texas,488.9,674,stable
Adams County, Pennsylvania,481.7,672,stable
Guadalupe County, Texas,420.4,671,falling
Bay County, Michigan,465.2 #  ,671,stable
Calhoun County, Alabama,464.3,670,stable
Kankakee County, Illinois,503.7,668,stable
Paulding County, Georgia,484,668,stable
Nevada County, California,405.7,667,falling
Flathead County, Montana,522.5,667,stable
Cochise County, Arizona,374,664,falling
LaPorte County, Indiana,474.1,662,stable
Northumberland County, Pennsylvania,497.1,661,stable
Wood County, Ohio,461.4,661,stable
Comal County, Texas,394.7,660,falling
Livingston Parish, Louisiana,470.3,660,falling
Fayette County, Georgia,465.4,658,stable
Androscoggin County, Maine,485.7,657,falling
Clark County, Indiana,488,654,falling
St. Lawrence County, New York,479.7,653,falling
Daviess County, Kentucky,529.3,652,stable
Clallam County, Washington,501.1,651,stable
Wichita County, Texas,452,647,stable
Tangipahoa Parish, Louisiana,467,647,stable
Douglas County, Georgia,474.2,644,stable
Craven County, North Carolina,498.4,643,stable
Putnam County, New York,509.7,642,falling
Lawrence County, Pennsylvania,501.1,640,stable
Jasper County, Missouri,478,640,stable
Columbiana County, Ohio,442.6,639,falling
Cleveland County, North Carolina,503.9,638,rising
Robeson County, North Carolina,428.9,638,stable
Orange County, North Carolina,440.5,638,falling
Steuben County, New York,485.5,637,falling
Wayne County, New York,530.4,637,stable
Madera County, California,402.3,637,falling
Sevier County, Tennessee,493.5,635,stable
Etowah County, Alabama,469.7,635,stable
Cecil County, Maryland,531.8,635,rising
Boone County, Kentucky,480.8,634,falling
Cabell County, West Virginia,524.2,632,stable
Taylor County, Texas,438.8,632,stable
Franklin County, Missouri,495.1,632,stable
Nassau County, Florida,557.5,632,stable
Delaware County, Indiana,459,630,stable
Jefferson County, New York,551.5,628,stable
Fond du Lac County, Wisconsin,474.4,628,falling
Wayne County, Ohio,437.1,627,stable
Spotsylvania County, Virginia,451.5,626,falling
Josephine County, Oregon,446.6,623,falling
Wicomico County, Maryland,537.5,622,stable
Walworth County, Wisconsin,491.1,621,stable
Eaton County, Michigan,445.4 #  ,620,falling
Terrebonne Parish, Louisiana,509.3,620,rising
Bossier Parish, Louisiana,464.1,617,falling
Cowlitz County, Washington,451.4,617,falling
Hardin County, Kentucky,535.4,614,stable
Randall County, Texas,427.7,614,falling
Allen County, Ohio,477.1,612,stable
Columbia County, Georgia,408.3,611,falling
Harnett County, North Carolina,490.9,609,stable
Hanover County, Virginia,463.6,608,stable
Berkeley County, West Virginia,485.2,608,stable
Miami County, Ohio,446.4,603,stable
Johnson County, Iowa,473.1,603,falling
Grand Traverse County, Michigan,492.8 #  ,602,falling
La Crosse County, Wisconsin,442.8,600,falling
Sumter County, South Carolina,480.9,599,stable
Chemung County, New York,529.8,597,stable
Dubuque County, Iowa,496.1,595,falling
Crawford County, Pennsylvania,494.5,592,stable
Vigo County, Indiana,478.1,591,falling
Ashtabula County, Ohio,451.4,591,falling
Roanoke County, Virginia,441.5,585,stable
Carroll County, Georgia,496.8,585,stable
Canadian County, Oklahoma,426.9,583,falling
Island County, Washington,478.5,582,falling
Brazos County, Texas,373.1,581,falling
Burke County, North Carolina,469.5,581,falling
Warren County, Kentucky,466.1,579,falling
Monroe County, Indiana,430.3,577,falling
Geauga County, Ohio,446.1,576,stable
Henderson County, Texas,495.6,574,stable
Midland County, Texas,389.9,574,falling
Allegan County, Michigan,414.6 #  ,573,stable
Houston County, Alabama,438.8,571,falling
Woodbury County, Iowa,498.9,569,stable
Bradley County, Tennessee,448.9,567,stable
Stafford County, Virginia,441.4,567,falling
Grafton County, New Hampshire,453.3,565,falling
Ector County, Texas,423.6,562,falling
Ozaukee County, Wisconsin,471.5,561,stable
Roanoke City, Virginia,466.1,559,stable
Pottawattamie County, Iowa,481.1,559,stable
Wood County, West Virginia,473.4,558,falling
Tom Green County, Texas,427.7,556,stable
Lee County, Alabama,392.5,555,stable
Tuscarawas County, Ohio,447,555,stable
Newport County, Rhode Island,462.7,555,falling
Faulkner County, Arkansas,483.1,555,stable
Yamhill County, Oregon,447.7,555,stable
LaFourche Parish, Louisiana,491.2,553,rising
Maury County, Tennessee,524.2,552,rising
Muskingum County, Ohio,507.3,551,stable
Pennington County, South Dakota,422.4,551,falling
Cass County, Missouri,445.6,551,stable
Newton County, Georgia,518.3,550,stable
Nash County, North Carolina,453.3,549,falling
Ascension Parish, Louisiana,473.5,549,falling
Campbell County, Kentucky,511,548,stable
Floyd County, Georgia,467.7,548,stable
Lancaster County, South Carolina,461,547,stable
Cayuga County, New York,526.6,547,stable
Albemarle County, Virginia,415.8,544,falling
Potter County, Texas,455.1,543,falling
Caldwell County, North Carolina,483.8,542,stable
Lenawee County, Michigan,421.2 #  ,540,stable
Kaufman County, Texas,465.2,539,stable
Erie County, Ohio,492.9,538,stable
Putnam County, Florida,493.4,535,stable
St. Marys County, Maryland,454.6,533,stable
Missoula County, Montana,419,532,falling
Somerset County, Pennsylvania,473.5,532,stable
Kendall County, Illinois,505.5,529,stable
Manitowoc County, Wisconsin,475.7,529,stable
Mendocino County, California,433.3,528,stable
Warren County, New York,558.7,528,stable
Lapeer County, Michigan,460.3 #  ,527,stable
Bartow County, Georgia,474.5,526,falling
Lauderdale County, Alabama,423.8,526,stable
Vermilion County, Illinois,504.7,525,stable
Craighead County, Arkansas,490,525,rising
Comanche County, Oklahoma,440.2,525,stable
Cattaraugus County, New York,507.4,523,stable
Clearfield County, Pennsylvania,459.4,523,falling
Howard County, Indiana,481.4,521,stable
Grays Harbor County, Washington,503.7,520,falling
Madison County, Tennessee,437.3,518,stable
Surry County, North Carolina,509,516,stable
Marshall County, Alabama,443.7,513,stable
Oconee County, South Carolina,448.7,511,falling
Allegany County, Maryland,511.2,511,stable
St. Landry Parish, Louisiana,525.3,510,stable
Alexandria City, Virginia,342.3,510,falling
Raleigh County, West Virginia,483.5,510,stable
Aroostook County, Maine,478.4,508,falling
Carteret County, North Carolina,474.9,508,falling
Portsmouth City, Virginia,474.3,507,stable
Clinton County, New York,508.4,506,stable
Eau Claire County, Wisconsin,447.4,506,stable
James City County, Virginia,445.4,503,stable
Madison County, Mississippi,475.8,502,stable
Burleigh County, North Dakota,475,500,stable
Monroe County, Florida,423.8,500,falling
Buchanan County, Missouri,479.2,499,falling
Bullitt County, Kentucky,550,498,stable
Hunt County, Texas,461.6,498,stable
Lincoln County, North Carolina,479.6,496,stable
Chatham County, North Carolina,472.9,496,stable
Augusta County, Virginia,469.2,495,stable
DeKalb County, Illinois,503.5,495,stable
Orangeburg County, South Carolina,422,494,falling
St. Clair County, Alabama,470.8,494,stable
Haywood County, North Carolina,515.7,492,stable
Limestone County, Alabama,462.5,492,stable
Laramie County, Wyoming,443.5,491,falling
Walton County, Georgia,480.4,490,falling
Dodge County, Wisconsin,434.9,489,falling
Dougherty County, Georgia,468.3,487,falling
Scioto County, Ohio,497.7,487,stable
Bedford City and County, Virginia,434.9,484,stable
Armstrong County, Pennsylvania,489.8,484,stable
Calvert County, Maryland,461.4,483,falling
Kings County, California,382.3,483,falling
Glynn County, Georgia,439.1,482,falling
Greene County, Tennessee,490,482,rising
Rogers County, Oklahoma,445,480,stable
Indiana County, Pennsylvania,439.6,480,falling
Bonneville County, Idaho,440.4,480,stable
Lowndes County, Georgia,456.4,479,stable
Platte County, Missouri,438.9,475,stable
Belknap County, New Hampshire,527.4,475,stable
Ross County, Ohio,492.7,473,stable
Coconino County, Arizona,361.1,473,falling
